CASE,CITATION,DATE,YEAR,DECADE,DECISION,DECISION2,EFFECT,STAT NAME,STAT CITE,PL #,S-DATE,TIME TO DECISION,CONGRESS,AREA1,AREA2,LNDMRK,LNDDTL,ATT GEN,CERT,REVERSD,CRS,GVT PRTY,DISSENT,H-CT,caseId.SCDB,JRC caseID,,
Lewis v. United States,348 U.S. 419,14/03/1955,1955,1950,0,0,upheld,Revenue Act of 1951,65 Stat. 452,82-183,20/10/1951,41,82,4,1,0,0,1,1,0,0,1,3,0,1954.04100,1955.02,,
Association of Westinghouse Salaried Employees v. Westinghouse Electric Corp.,348 U.S. 437,28/03/1955,1955,1950,1,1,struck down as applied,Taft-Hartley Act,61 Stat. 156,80-101,23/06/1947,93,80,6,5,1,0,0,1,0,0,0,2,1,1954.04400,1955.03,,
Quinn v. United States,349 U.S. 155,23/05/1955,1955,1950,1,1,struck down as applied,52 Stat. 942,52 Stat. 942,75-700,22/06/1938,203,75,1,,0,0,1,1,1,0,1,2,0,1954.07800,1955.04,,
Emspak v. United States,349 U.S. 190,23/05/1955,1955,1950,1,1,struck down as applied,52 Stat. 942,52 Stat. 942,75-700,22/06/1938,203,75,1,,0,0,1,1,1,0,1,3,0,1954.07900,1955.05,,
Marcello v. Bonds,349 U.S. 302,31/05/1955,1955,1950,0,0,upheld,Immigration and Nationality Act,66 Stat. 209,82-414,27/06/1952,35,82,1,,1,1,1,1,0,0,1,3,0,1954.08600,1955.06,,
Federal Power Commission v. Oregon,349 U.S. 435,06/06/1955,1955,1950,0,0,upheld,Public Utility Act of 1935,49 Stat. 839,74-333,26/08/1935,298,74,5,,1,0,1,1,1,0,1,1,0,1954.09400,1955.07,,
United States ex rel. Toth v. Quarles,350 U.S. 11,07/11/1955,1955,1950,2,1,struck down on face,Uniform Code of Military Justice  ,64 Stat. 109,81-506,05/05/1950,66,81,1,,0,0,1,1,1,1,1,3,0,1955.00400,1955.08,,
Rex Trailer Co. v. United States,350 U.S. 148,09/01/1956,1956,1950,0,0,upheld,Surplus Property Act of 1944,58 Stat. 780,78-457,03/10/1944,135,78,1,,1,0,1,1,0,0,1,0,0,1955.01600,1956.01,,
Bernhardt v. Polygraphic Co. of America,350 U.S. 198,16/01/1956,1956,1950,1,1,struck down as applied,Federal Arbitration Act of 1947,61 Stat. 669,80-281,20/07/1947,102,80,5,,0,0,0,1,1,0,0,1,1,1955.02000,1956.02,,
Greenwood v. United States,350 U.S. 366,05/03/1956,1956,1950,0,0,upheld,63 Stat. 686,63 Stat. 686,81-285,07/09/1949,78,81,5,1,0,0,1,1,0,0,1,0,0,1955.03400,1956.03,,
Cammer v. United States,350 U.S. 399,12/03/1956,1956,1950,1,1,struck down as applied,Conspiracy Act of 1948,62 Stat. 701,80-772,25/06/1948,93,80,1,,0,0,1,1,1,0,1,0,1,1955.03700,1956.04,,
United States v. Green,350 U.S. 415,26/03/1956,1956,1950,0,0,upheld,60 Stat. 420,60 Stat. 420,79-486,03/07/1946,152,79,5,,0,0,1,0,1,0,1,3,0,1955.04000,1956.05,,
Ullman v. United States,350 U.S. 422,26/03/1956,1956,1950,0,0,upheld,68 Stat. 745,68 Stat. 745,83-599,20/08/1954,55,83,1,5,0,0,1,1,0,0,1,3,1,1955.04100,1956.06,,
Railway Employees' Department v. Hanson,351 U.S. 225,21/05/1956,1956,1950,0,0,upheld,Railway Labor Act Amendment,64 Stat. 1238,81-914,20/01/1951,64,81,4,2,0,0,0,0,1,0,0,0,0,1955.08300,1956.07,,
Kinsella v. Krueger,351 U.S. 470,11/06/1956,1956,1950,0,0,upheld,Uniform Code of Military Justice  ,64 Stat. 109,81-506,05/05/1950,73,81,1,,0,0,1,1,0,0,1,3,0,1955.09600,1956.08,,
United States v. Witkovich,353 U.S. 194,29/04/1957,1957,1950,1,1,struck down as applied,Immigration and Nationality Act,66 Stat. 208,82-414,27/06/1952,58,82,1,,1,0,1,0,0,0,1,2,0,1956.07300,1957.01,,
Textile Workers Union v. Lincoln Mills of Alabama,353 U.S. 448,03/06/1957,1957,1950,0,0,upheld,Taft-Hartley Act,61 Stat. 156,80-101,23/06/1947,120,80,5,6,1,0,1,1,1,0,0,1,1,1956.09100,1957.02,,
California v. Taylor,353 U.S. 553,03/06/1957,1957,1950,0,0,upheld,Railway Labor Act,48 Stat. 1185,73-442,21/06/1934,276,73,5,,0,0,1,1,0,0,0,0,0,1956.09400,1957.03,,
Lehmann v. United States,353 U.S. 685,03/06/1957,1957,1950,0,0,upheld,Federal-Aid Highway Act of 1952,66 Stat. 163,82-413,27/06/1952,60,82,1,,1,1,0,1,1,0,1,2,0,1956.09900,1957.04,,
Reid v. Covert,354 U.S. 1,10/06/1957,1957,1950,2,1,struck down on face,Uniform Code of Military Justice  ,64 Stat. 109,81-506,05/05/1950,81,81,1,,0,0,1,0,1,1,1,2,0,1956.10100,1957.05,,
Watkins v. United States,354 U.S. 178,17/06/1957,1957,1950,1,1,struck down as applied,Legislative Reorganization Act of 1946,60 Stat. 828,79-601,02/08/1946,130,79,1,2,1,0,1,1,1,0,1,1,0,1956.10800,1957.06,,
Yates v. United States,354 U.S. 298,17/06/1957,1957,1950,1,1,struck down as applied,Alien Registration Act of 1940,54 Stat. 671,76-670,28/06/1940,204,76,2,,1,1,1,1,1,0,1,3,0,1956.11300,1957.07,,
Roth v. United States,354 U.S. 476,24/06/1957,1957,1950,0,0,upheld,Crimes and Criminal Procedure Act,62 Stat. 683,80-772,25/06/1948,108,80,2,1,0,0,1,1,0,0,1,3,1,1956.12900,1957.08,,
United States v. Sharpnack,355 U.S. 286,13/01/1958,1958,1950,0,0,upheld,Crimes and Criminal Procedure Act,62 Stat. 686,80-772,25/06/1948,115,80,6,5,0,0,1,0,1,0,1,2,1,1957.03200,1958.01,,
Green v. United States,356 U.S. 165,31/03/1958,1958,1950,0,0,upheld,Crimes and Criminal Procedure Act,62 Stat. 701,80-772,25/06/1948,117,80,1,,0,0,1,1,0,0,1,4,1,1957.07400,1958.02,,
Perez v. Brownell,356 U.S. 44,31/03/1958,1958,1950,0,0,upheld,Nationality Act of 1940 Amendment,58 Stat. 746,78-431,27/09/1944,162,78,2,,0,0,1,1,0,0,1,4,0,1957.07100,1958.03,,
Trop v. Dulles,356 U.S. 86,31/03/1958,1958,1950,2,1,struck down on face,Nationality Act of 1940 Amendment,58 Stat. 4,78-221,20/01/1944,170,78,2,,0,0,1,1,1,1,1,4,0,1957.07200,1958.04,,
Kent v. Dulles,357 U.S. 116,16/06/1958,1958,1950,1,1,struck down as applied,Immigration and Nationality Act,66 Stat. 190,82-414,27/06/1952,72,82,2,1,1,0,1,1,1,0,1,4,0,1957.12100,1958.05,,
Ivanhoe Irrigation District v. McCracken,357 U.S. 275,23/06/1958,1958,1950,0,0,upheld,70 Stat. 524,70 Stat. 524,84-691,11/07/1956,23,84,4,,0,0,1,0,1,0,1,0,1,1957.13100,1958.06,,
Gore v. United States,357 U.S. 386,30/06/1958,1958,1950,0,0,upheld,65 Stat. 767,65 Stat. 767,82-255,02/11/1951,79,82,1,,0,0,1,1,0,0,1,4,0,1957.13900,1958.07,,
"Federal Housing Administration v. Darlington, Inc.",358 U.S. 84,24/11/1958,1958,1950,0,0,upheld,Housing Act of 1954,68 Stat. 610,83-560,02/08/1954,51,83,4,1,1,0,1,0,1,0,1,3,1,1958.01300,1958.08,,
Lee v. Madigan,358 U.S. 228,12/01/1959,1959,1950,1,1,struck down as applied,Uniform Code of Military Justice  ,64 Stat. 108,81-506,05/05/1950,104,81,1,,0,0,1,1,0,0,1,2,0,1958.02700,1959.01,,
Cammarano v. United States,358 U.S. 498,24/02/1959,1959,1950,0,0,upheld,Revenue Act of 1939,53 Stat. 862,76-155,29/06/1939,236,76,2,,0,0,1,1,0,0,1,0,0,1958.04300,1959.02,,
Barenblatt v. United States,360 U.S. 109,08/06/1959,1959,1950,0,0,upheld,52 Stat. 942,52 Stat. 942,75-700,22/06/1938,252,75,1,2,0,0,1,1,1,0,1,4,0,1958.10200,1959.03,,
National Labor Relations Board v. Cabot Carbon Co.,360 U.S. 203,08/06/1959,1959,1950,0,0,upheld,Taft-Hartley Act,61 Stat. 138,80-101,23/06/1947,144,80,2,,1,0,1,1,0,0,1,0,1,1958.10500,1959.04,,
Palermo v. United States,360 U.S. 343,22/06/1959,1959,1950,0,0,upheld,71 stat. 595,71 stat. 595,85-269,02/09/1957,21,85,6,,0,0,1,1,0,0,1,0,0,1958.11900,1959.05,,
Pennsylvania Railroad Co. v. Day,360 U.S. 548,29/06/1959,1959,1950,0,0,upheld,Railway Labor Act,48 Stat. 1185,73-442,21/06/1934,300,73,1,,0,0,0,1,1,0,1,3,0,1958.12900,1959.06,,
Braen v. Pfeifer Oil Transportation Co.,361 U.S. 129,14/12/1959,1959,1950,0,0,upheld,Merchant Marine Act of 1920,41 Stat. 1007,66-261,05/06/1920,462,66,5,,1,0,0,1,1,0,0,3,1,1959.01100,1959.07,,
United Steelworkers of America v. United States,361 U.S. 39,07/11/1959,1959,1950,0,0,upheld,Taft-Hartley Act,61 Stat. 155,80-101,23/06/1947,149,80,6,,1,1,1,1,0,0,1,0,1,1959.00300,1959.08,,
Kinsella v. United States,361 U.S. 234,18/01/1960,1960,1960,1,1,struck down as applied,Revision of Code relating to Armed Services,70A Stat. 1126,84-1028,10/08/1956,41,84,1,,0,0,1,1,1,1,1,2,0,1959.02000,1960.01,,
Grisham v. Hagan,361 U.S. 278,18/01/1960,1960,1960,1,1,struck down as applied,Revision of Code relating to Armed Services,70A Stat. 1126,84-1028,10/08/1956,41,84,1,,0,0,1,1,1,1,1,2,0,1959.02100,1960.02,,
McElroy v. United States,361 U.S. 281,18/01/1960,1960,1960,1,1,struck down as applied,Revision of Code relating to Armed Services,70A Stat. 1126,84-1028,10/08/1956,41,84,1,,0,0,1,0,0,1,1,4,0,1959.02200,1960.03,,
United States v. Raines,362 U.S. 17,29/02/1960,1960,1960,0,0,upheld,Civil Rights Act of 1957,71 Stat. 637,85-315,09/09/1957,29,85,5,,1,1,1,0,1,0,1,0,0,1959.04100,1960.04,,
United States v. Manufacturers National Bank,363 U.S. 194,13/06/1960,1960,1960,0,0,upheld,Revenue Act of 1942,56 Stat. 944,77-753,21/10/1942,212,77,1,4,1,0,1,0,1,0,1,0,0,1959.09300,1960.05,,
Hannah v. Larche,363 U.S. 420,20/06/1960,1960,1960,0,0,upheld,Civil Rights Act of 1957,71 Stat. 634,85-315,09/09/1957,33,85,1,,1,1,1,0,1,0,1,2,0,1959.10500,1960.06,,
Flemming v. Nestor,363 U.S. 603,20/06/1960,1960,1960,0,0,upheld,Social Security Amendments of 1954,68 Stat. 1083,83-761,01/09/1954,69,83,1,,0,0,1,0,1,0,1,4,1,1959.11400,1960.07,,
Reina v. United States,364 U.S. 507,19/12/1960,1960,1960,0,0,upheld,Narcotic Control Act of 1956,70 Stat. 572,84-728,18/07/1956,53,84,5,,1,0,1,1,0,0,1,2,0,1960.02200,1960.08,,
Gonzales v. United States,364 U.S. 59,27/06/1960,1960,1960,0,0,upheld,Selective Service Act of 1948,62 stat. 622,80-759,24/06/1948,144,80,1,,0,0,1,1,0,0,1,4,1,1959.12400,1960.09,,
Travis v. United States,364 U.S. 631,16/01/1961,1961,1960,1,1,struck down as applied,Crimes and Criminal Procedure Act,62 Stat. 862,80-772,25/06/1948,151,80,1,,0,0,1,1,1,0,1,3,1,1960.02800,1961.01,,
Eastern Railroad Presidents Conference v. Noerr Motor Freight Inc.,365 U.S. 127,20/02/1961,1961,1960,1,1,struck down as applied,Sherman Anti-Trust Act,26 Stat. 209,,7/2/1890,847,51,2,,1,1,0,1,1,0,0,0,1,1960.03800,1961.02,,
Wilkinson v. United States,365 U.S. 399,27/02/1961,1961,1960,0,0,upheld,52 Stat. 942,52 Stat. 942,75-700,22/06/1938,356,75,2,,0,0,1,1,0,0,1,4,0,1960.05100,1961.03,,
Braden v. United States,365 U.S. 431,27/02/1961,1961,1960,0,0,upheld,52 Stat. 942,52 Stat. 942,75-700,22/06/1938,356,75,2,,0,0,1,1,0,0,1,4,0,1960.05200,1961.04,,
United States v. Oregon,366 U.S. 643,29/05/1961,1961,1960,0,0,upheld,36 Stat. 736,36 Stat. 736,61-266,25/06/1910,731,61,5,,0,0,1,1,1,0,1,2,1,1960.10600,1961.05,,
Communist Party of United States v. Subversive Activities Control Board,367 U.S. 1,05/06/1961,1961,1960,0,0,upheld,Internal Security Act of 1950,64 Stat. 987,81-831,23/09/1950,129,81,1,2,1,1,1,1,0,0,1,4,0,1960.11100,1961.06,,
Scales v. United States,367 U.S. 203,05/06/1961,1961,1960,0,0,upheld,Internal Security Act of 1950,64 Stat. 987,81-831,23/09/1950,129,81,1,2,1,0,1,1,0,0,1,4,0,1960.11500,1961.07,,
International Association of Machinists v. Street,367 U.S. 740,19/06/1961,1961,1960,1,1,struck down as applied,Railway Labor Act Amendment,64 Stat. 1238,81-914,10/01/1951,125,81,2,,0,0,1,0,1,0,0,4,0,1960.13600,1961.08,,
Cafeteria & Restaurant Workers Union v. McElroy,367 U.S. 886,19/06/1961,1961,1960,0,0,upheld,12 Stat. 565,12 Stat. 565,,7/14/1862,1187,37,1,,0,0,1,1,0,0,1,4,1,1960.13800,1961.09,,
Killian v. United States,368 U.S. 231,11/12/1961,1961,1960,0,0,upheld,Taft-Hartley Act,61 Stat. 146,80-101,23/06/1947,172,80,2,,1,1,1,1,0,0,1,4,1,1961.01200,1961.10,,
Hutcheson v. United States,369 U.S. 599,14/05/1962,1962,1960,0,0,upheld,52 Stat. 942,52 Stat. 942,75-700,22/06/1938,287,75,6,1,0,0,1,1,0,0,1,2,0,1961.06700,1962.01,,
Free v. Bland,369 U.S. 663,21/05/1962,1962,1960,0,0,upheld,Gold Reserve Act of 1934,48 Stat. 343,73-87,30/01/1934,340,73,5,,0,0,1,1,1,0,0,0,0,1961.07100,1962.02,,
Lynch v. Overholser,369 U.S. 705,21/05/1962,1962,1960,1,1,struck down as applied,59 Stat. 311,59 Stat. 311,79-111,02/07/1945,202,79,1,,0,0,1,1,1,0,1,1,0,1961.07500,1962.03,,
State Board of Insurance v. Todd Shipyards Corp.,370 U.S. 451,25/06/1962,1962,1960,0,0,upheld,59 Stat. 33,59 Stat. 33,79-15,09/03/1945,207,79,5,,1,1,1,1,1,0,0,1,0,1961.10600,1962.04,,
"Manual Enterprises, Inc. v. Day",370 U.S. 478,25/06/1962,1962,1960,1,1,struck down as applied,69 Stat. 183,69 Stat. 183,84-95,28/06/1955,84,84,2,,0,0,0,1,0,0,1,1,0,1961.10800,1962.05,,
Glidden Co. v. Zdanok,370 U.S. 530,25/06/1962,1962,1960,0,0,upheld,70 Stat. 532,70 Stat. 532,84-703,14/07/1956,71,84,1,6,0,0,1,1,0,0,0,2,0,1961.10900,1962.06,,
Kennedy v. Mendoza-Martinez,372 U.S. 144,18/02/1963,1963,1960,2,1,struck down on face,Immigration and Nationality Act,66 Stat. 267,82-414,27/06/1952,128,82,1,6,1,0,1,0,1,1,1,4,0,1962.04900,1963.01,,
United States v. National Dairy Products Corpt.,372 U.S. 29,18/02/1963,1963,1960,0,0,upheld,Antitrust Act of 1914 Amendment,49 Stat. 1526,74-692,19/06/1936,356,74,1,,1,1,1,0,0,0,1,3,0,1962.04200,1963.02,,
Sperry v. Florida,373 U.S. 379,27/05/1963,1963,1960,0,0,upheld,66 Stat. 795,66 Stat. 795,82-593,19/07/1952,130,82,5,6,0,0,1,1,0,0,0,0,0,1962.11700,1963.03,,
Arizona v. California,373 U.S. 546,03/06/1963,1963,1960,0,0,upheld,45 Stat. 1057,45 Stat. 1057,70-642,21/12/1928,414,70,5,,1,0,1,0,0,0,0,3,1,1962.12700,1963.04,,
Reisman v. Caplin,375 U.S. 440,20/01/1964,1964,1960,0,0,upheld,Renegotiation Act Extension,68a Stat. 1,83-746,16/08/1954,113,83,1,,1,0,1,1,0,0,1,0,1,1963.04600,1964.01,,
United States v. Barnett,376 U.S. 681,06/04/1964,1964,1960,0,0,upheld,Clayton Anti-Trust Act,38 Stat. 730,63-212,15/10/1914,594,63,1,,1,1,1,0,0,0,1,4,0,1963.09600,1964.02,,
Schneider v. Rusk,377 U.S. 163,18/05/1964,1964,1960,2,1,struck down on face,Immigration and Nationality Act,66 Stat. 269,82-414,27/06/1952,143,82,1,2,1,0,0,1,1,1,1,3,0,1963.11300,1964.03,,
Parden v. Terminal Railway of the Alabama State Docks Department,377 U.S. 184,18/05/1964,1964,1960,0,0,upheld,Employers' Liability Act of 1908 (Railroads),35 Stat. 65,60-100,22/04/1908,673,60,5,,1,1,1,0,1,0,0,4,1,1963.11500,1964.04,,
Aptheker v. Secretary of State,378 U.S. 500,22/06/1964,1964,1960,2,1,struck down on face,Internal Security Act of 1950,64 Stat. 1003,81-831,23/09/1950,165,81,2,,1,1,1,0,1,1,1,3,0,1963.16500,1964.05,,
Schlagenhauf v. Holder,379 U.S. 104,23/11/1964,1964,1960,0,0,upheld,Communications Act of 1934,48 Stat. 1064,73-416,19/06/1934,365,73,2,,0,0,0,1,0,0,0,4,0,1964.00900,1964.06,,
"Heart of Atlanta Motel, Inc. v. United States",379 U.S. 241,14/12/1964,1964,1960,0,0,upheld,Civil Rights Act of 1964,78 Stat. 241,88-352,02/07/1964,5,88,5,,1,1,1,0,1,0,1,0,0,1964.01700,1964.07,,
Katzenbach v. McClung,379 U.S. 294,14/12/1964,1964,1960,0,0,upheld,Civil Rights Act of 1964,78 Stat. 241,88-352,02/07/1964,5,88,5,,1,1,1,0,0,0,1,0,0,1964.01800,1964.08,,
United States v. Mississippi,380 U.S. 128,08/03/1965,1965,1960,0,0,upheld,Civil Rights Act of 1960,74 Stat. 90,86-449,06/05/1960,58,86,5,,1,1,1,0,1,0,1,0,0,1964.05300,1965.01,,
Singer v. United States,380 U.S. 24,01/03/1965,1965,1960,0,0,upheld,54 Stat. 688,54 Stat. 688,76-675,29/06/1940,297,76,1,,0,0,1,1,0,0,1,0,0,1964.04400,1965.02,,
Hanna v. Plumer,380 U.S. 460,26/04/1965,1965,1960,0,0,upheld,Judiciary and Judicial Procedure Act,62 Stat. 961,80-773,25/06/1948,202,80,5,,0,0,0,1,1,0,0,0,1,1964.07600,1965.03,,
United States v. Gainey,380 U.S. 63,01/03/1965,1965,1960,0,0,upheld,Excise Tax Technical Changes Act of 1958,72 Stat. 1399,85-859,02/09/1958,78,85,1,6,0,0,1,1,1,0,1,2,0,1964.04700,1965.04,,
Zemel v. Rusk,381 U.S. 1,03/05/1965,1965,1960,0,0,upheld,Walsh Act,44 Stat. 887,69-493,03/07/1926,466,69,2,6,0,0,1,0,0,0,1,3,1,1964.09500,1965.05,,
United States v. Atlas Life Insurance Co.,381 U.S. 233,17/05/1965,1965,1960,0,0,upheld,Life Insurance Company Income Tax Act of 1959,73 Stat. 112,86-69,25/06/1959,71,86,5,4,0,0,1,1,1,0,1,0,0,1964.10800,1965.06,,
Lamont v. Postmaster General,381 U.S. 301,24/05/1965,1965,1960,2,1,struck down on face,Postal Service and Federal Employees Salary Act of 1962,76 Stat. 840,87-793,11/10/1962,31,87,2,,0,0,1,0,0,1,1,0,0,1964.11100,1965.07,,
United States v. Brown,381 U.S. 437,07/06/1965,1965,1960,1,1,struck down on face,Labor-Management Reporting and Disclosure Act,73 Stat. 536,86-257,14/09/1959,69,86,6,1,1,0,1,1,0,1,1,4,0,1964.12000,1965.08,,
United States v. Romano,382 U.S. 136,22/11/1965,1965,1960,1,1,struck down as applied,Excise Tax Technical Changes Act of 1958,72 Stat. 1399,85-859,02/09/1958,86,85,1,,0,0,1,1,0,1,1,0,0,1965.01400,1965.09,,
Albertson v. Subversive Activities Control Board,382 U.S. 70,15/11/1965,1965,1960,1,1,struck down as applied,Internal Security Act of 1950,64 Stat. 994,81-831,23/09/1950,182,81,1,,1,1,1,1,1,1,1,0,0,1965.01000,1965.10,,
Katchen v. Landy,382 U.S. 323,17/01/1966,1966,1960,0,0,upheld,Bankruptcy Act of 1898 Amendments,52 Stat. 843,75-696,22/06/1938,331,75,1,,1,0,0,1,0,0,0,2,0,1965.03600,1966.01,,
United States v. Johnson,383 U.S. 169,24/02/1966,1966,1960,1,1,struck down as applied,58 Stat. 752,58 Stat. 752,78-439,27/09/1944,257,78,6,2,0,0,1,1,0,0,1,3,0,1965.05400,1966.02,,
South Carolina v. Katzenbach,383 U.S. 301,07/03/1966,1966,1960,0,0,upheld,Voting Rights Act of 1965,79 Stat. 437,89-110,06/08/1965,6,89,5,1,0,0,1,0,0,0,1,1,0,1965.06400,1966.03,,
Ginzburg v. United States,383 U.S. 463,21/03/1966,1966,1960,0,0,upheld,69 Stat. 183,69 Stat. 183,84-95,28/06/1955,129,84,2,,0,0,1,1,0,0,1,4,0,1965.06900,1966.04,,
United States v. Guest,383 U.S. 745,28/03/1966,1966,1960,0,0,upheld,Enforcement Act of 1870,16 Stat. 141,,5/31/1870,1150,41,1,,1,1,1,0,1,0,1,4,1,1965.08300,1966.05,,
Cheff v. Schnackenberg,384 U.S. 373,06/06/1966,1966,1960,0,0,upheld,Clayton Anti-Trust Act,38 Stat. 730,63-212,15/10/1914,620,63,1,,1,1,1,1,0,0,1,2,0,1965.11900,1966.06,,
Katzenbach v. Morgan,384 U.S. 641,13/06/1966,1966,1960,0,0,upheld,Voting Rights Act of 1965,79 Stat. 439,89-110,06/08/1965,9,89,5,,1,1,0,0,1,0,1,2,0,1965.12600,1966.07,,
Dennis v. United States,384 U.S. 855,20/06/1966,1966,1960,0,0,upheld,58 Stat. 752,58 Stat. 752,78-439,27/09/1944,261,78,1,,0,0,1,1,1,0,1,2,0,1965.13500,1966.08,,
State Farm Fire & Casualty Co. v. Tashire,386 U.S. 523,10/04/1967,1967,1960,0,0,upheld,Federal Interpleader Act of 1936,49 Stat. 1096,74-422,20/01/1936,375,74,6,,0,0,0,1,1,0,0,1,0,1966.07500,1967.01,,
Boutilier v. INS,387 U.S. 118,22/05/1967,1967,1960,0,0,upheld,Immigration and Nationality Act,66 Stat. 182,82-414,27/06/1952,179,82,1,,1,1,1,1,0,0,1,3,0,1966.10000,1967.02,,
Afroyim v. Rusk,387 U.S. 253,29/05/1967,1967,1960,2,1,struck down on face,Immigration and Nationality Act,66 Stat. 268,82-414,27/06/1952,179,82,2,,1,0,1,1,1,1,1,4,0,1966.10800,1967.03,,
Prima Paint Corp. v. Flood & Conklin Manufacturing Co.,388 U.S. 395,12/06/1967,1967,1960,0,0,upheld,68 Stat. 1233,68 Stat. 1233,83-779,03/09/1954,153,83,5,,0,0,0,1,0,0,0,3,1,1966.13100,1967.04,,
United States v. Robel,389 U.S. 258,11/12/1967,1967,1960,2,1,struck down on face,Internal Security Act of 1950,64 Stat. 992,81-831,23/09/1950,195,81,2,,1,1,1,0,0,1,1,2,0,1967.03300,1967.05,,
Schneider v. Smith,390 U.S. 17,16/01/1968,1968,1960,1,1,struck down as applied,Magnuson Act,64 Stat. 427,81-679,09/08/1950,209,81,2,,0,0,1,0,1,0,1,0,0,1967.05900,1968.01,,
Marchetti v. United States,390 U.S. 39,29/01/1968,1968,1960,2,1,struck down on face,Renegotiation Act Extension,68A Stat. 527,83-746,16/08/1954,161,83,1,,1,0,1,1,1,1,1,1,1,1967.06100,1968.02,,
United States v. Jackson,390 U.S. 570,08/04/1968,1968,1960,2,1,struck down on face,Crimes and Criminal Procedure Act,62 Stat. 760,80-772,25/06/1948,238,80,1,,0,0,1,0,1,1,1,2,1,1967.10100,1968.03,,
Grosso v. United States,390 U.S. 62,29/01/1968,1968,1960,2,1,struck down on face,Renegotiation Act Extension,68A Stat. 527,83-746,16/08/1954,161,83,1,,1,0,1,1,1,1,1,1,1,1967.06200,1968.04,,
Permian Basin Area Rate Cases,390 U.S. 747,01/05/1968,1968,1960,0,0,upheld,Natural Gas Act,52 Stat. 823,75-688,21/06/1938,359,75,4,1,1,1,1,1,1,0,1,1,0,1967.11200,1968.05,,
Haynes v. United States,390 U.S. 85,29/01/1968,1968,1960,2,1,struck down on face,National Firearms Act,48 Stat. 1236,73-474,29/06/1934,403,73,1,,0,0,1,1,1,1,1,1,0,1967.06300,1968.06,,
United States v. O'Brien,391 U.S. 367,27/05/1968,1968,1960,0,0,upheld,79 Stat. 586,79 Stat. 586,89-152,28/08/1965,33,89,2,,0,0,1,1,0,0,1,1,0,1967.13500,1968.07,,
Maryland v. Wirtz,392 U.S. 183,10/06/1968,1968,1960,0,0,upheld,Fair Labor Standards Amendments of 1966,80 Stat. 832,89-601,23/09/1966,21,89,5,,1,0,1,0,0,0,1,2,0,1967.16200,1968.08,,
Jones v. Alfred H. Mayer Co.,392 U.S. 409,17/06/1968,1968,1960,0,0,upheld,Enforcement Act of 1870,16 Stat. 144,,5/31/1870,1177,41,5,,1,1,1,1,1,0,0,2,1,1967.18100,1968.09,,
Clark v. Gabriel,393 U.S. 256,16/12/1968,1968,1960,0,0,upheld,Universal Military Training and Service Act Amendments,81 Stat. 100,90-40,30/06/1967,18,90,1,,0,0,1,0,1,0,1,0,0,1968.02400,1968.10,,
Thorpe v. Housing Authority of the City of Durham,393 U.S. 268,13/01/1969,1969,1960,0,0,upheld,United States Housing Act of 1937,50 Stat. 891,75-412,01/09/1937,376,75,4,,1,0,0,1,1,0,0,0,0,1968.02500,1969.01,,
Shapiro v. Thompson,394 U.S. 618,21/04/1969,1969,1960,2,1,struck down on face,Social Security Act Amendments of 1950,64 Stat. 550,81-734,26/08/1950,224,81,2,3,1,0,0,0,0,1,0,3,0,1968.08100,1969.02,,
Watts v. United States,394 U.S. 705,21/04/1969,1969,1960,1,1,struck down as applied,Crimes and Criminal Procedure Act,62 Stat. 740,80-772,25/06/1948,250,80,2,,0,0,1,1,1,0,1,3,1,1968.08400,1969.03,,
Frank v. United States,395 U.S. 147,19/05/1969,1969,1960,0,0,upheld,55 Stat. 779,55 Stat. 779,77-316,21/11/1941,330,77,1,,0,0,1,1,0,0,1,3,0,1968.10300,1969.04,,
O'Callahan v. Parker,395 U.S. 258,02/06/1969,1969,1960,1,1,struck down as applied,Uniform Code of Military Justice  ,64 Stat. 107,81-506,05/05/1950,229,81,1,,0,0,1,1,1,1,1,3,0,1968.11400,1969.05,,
Red Lion Broadcasting Co. v. FCC,395 U.S. 367,09/06/1969,1969,1960,0,0,upheld,Communications Act Amendment ,73 Stat. 557,86-274,14/09/1959,117,86,2,1,0,0,1,1,1,0,1,0,0,1968.12100,1969.06,,
National Labor Relations Board v. Gissel Packing Co.,395 U.S. 575,16/06/1969,1969,1960,0,0,upheld,National Labor Relations Act,49 Stat. 452,74-198,05/07/1935,419,74,2,,1,1,1,1,1,0,1,0,0,1968.12800,1969.07,,
Leary v. United States,395 U.S. 6,19/05/1969,1969,1960,2,1,struck down on face,Narcotic Control Act of 1956,70 Stat. 570,84-728,18/07/1956,154,84,1,,1,0,1,1,1,1,1,0,0,1968.09800,1969.80,,
Bryson v. United States,396 U.S. 64,08/12/1969,1969,1960,0,0,upheld,Crimes and Criminal Procedure Act,62 Stat. 749,80-772,25/06/1948,258,80,1,,0,0,1,1,0,0,1,2,1,1969.00700,1969.09,,
Minor v. United States,396 U.S. 87,08/12/1969,1969,1960,0,0,upheld,Renegotiation Act Extension,68A Stat. 560,83-746,16/08/1954,184,83,1,,1,0,1,1,0,0,1,2,1,1969.00900,1969.10,,
Turner v. United States,396 U.S. 398,20/01/1970,1970,1970,2,1,struck down on face,Narcotic Control Act of 1956,70 Stat. 570,84-728,18/07/1956,162,84,1,,1,0,1,1,1,1,1,2,0,1969.03100,1970.01,,
